,participant,block,order,spelling,wnw,resp,accuracy,prev.acc,rt,prev.rt,freq,prev.wnw,fg,wfnw,resp.1,ve
4286,1,9,4486,vlerk,1,2,0,1,475,524,0.4574,2,2,2,2,0
4287,1,9,4487,los,1,1,1,0,446,475,184.7955,1,6,6,1,0
4288,1,9,4488,ekster,1,1,1,1,466,446,0.1372,1,2,2,1,0
4289,1,9,4489,gestort,1,1,1,1,774,466,3.2244,1,4,4,1,0
4290,1,9,4490,sleckte,2,2,1,1,508,774,NA,1,NA,7,2,0
4291,1,9,4491,koodde,2,2,1,1,589,508,NA,2,NA,7,2,0
4292,1,9,4492,rassen,1,1,1,1,556,589,3.0414,2,4,4,1,0
4293,1,9,4493,knalste,2,2,1,1,764,556,NA,1,NA,7,2,1
4294,1,9,4494,voertjes,1,2,0,1,898,764,0,2,1,1,2,0
4295,1,9,4495,schrolbeeld,2,2,1,0,500,898,NA,1,NA,7,2,0
4296,1,9,4496,nachtjes,1,1,1,1,454,500,0.2973,2,2,2,1,0
4297,1,9,4497,steekt,1,1,1,1,554,454,18.4544,1,6,6,1,0
4298,1,9,4498,handelt,1,1,1,1,602,554,6.06,1,5,5,1,0
4299,1,9,4499,rekstad,2,2,1,1,536,602,NA,1,NA,7,2,0
4300,1,9,4500,telden,1,1,1,1,793,536,0.4116,2,2,2,1,0
4301,1,9,4501,hoten,2,2,1,1,676,793,NA,1,NA,7,2,0
4302,1,9,4502,verploog,2,2,1,1,495,676,NA,2,NA,7,2,0
4303,1,9,4503,aula,1,1,1,1,512,495,0.686,2,3,3,1,0
4304,1,9,4504,talt,2,2,1,1,449,512,NA,1,NA,7,2,0
4305,1,9,4505,tonk,2,2,1,1,598,449,NA,2,NA,7,2,0
4306,1,9,4506,hulsten,1,1,1,1,1156,598,0,2,1,1,1,0
4307,1,9,4507,latje,1,1,1,1,491,1156,0.0457,1,1,1,1,0
4308,1,9,4508,leggen,1,1,1,1,445,491,68.7638,1,6,6,1,0
4309,1,9,4509,boenet,2,2,1,1,545,445,NA,1,NA,7,2,0
4310,1,9,4510,erf,1,1,1,1,465,545,2.4697,2,4,4,1,0
4311,1,9,4511,draatjes,2,2,1,1,884,465,NA,1,NA,7,2,0
4312,1,9,4512,rierde,2,2,1,1,519,884,NA,2,NA,7,2,0
4313,1,9,4513,buigt,1,1,1,1,536,519,2.7899,2,4,4,1,0
4314,1,9,4514,sminzen,2,2,1,1,440,536,NA,1,NA,7,2,0
4315,1,9,4515,of,1,1,1,1,412,440,2338.1511,2,6,6,1,0
4316,1,9,4516,doddels,2,2,1,1,706,412,NA,1,NA,7,2,0
4317,1,9,4517,poetten,2,2,1,1,539,706,NA,2,NA,7,2,0
4318,1,9,4518,belen,2,2,1,1,810,539,NA,2,NA,7,2,0
4319,1,9,4519,bamdees,2,2,1,1,560,810,NA,2,NA,7,2,0
4320,1,9,4520,visum,1,1,1,1,575,560,3.7046,2,4,4,1,0
4321,1,9,4521,doordan,2,2,1,1,765,575,NA,1,NA,7,2,0
4322,1,9,4522,vergrijn,2,2,1,1,581,765,NA,2,NA,7,2,0
4323,1,9,4523,snoelde,2,2,1,1,1139,581,NA,2,NA,7,2,0
4324,1,9,4524,zwaantjes,1,1,1,1,555,1139,0.0457,2,1,1,1,0
4325,1,9,4525,graten,1,1,1,1,555,555,0.2515,1,2,2,1,0
4326,1,9,4526,jeans,1,1,1,1,523,555,3.0643,1,4,4,1,0
